"","dayOfWeek","dayOfMonth","month","year","reports","temp","dewp","slp","visib","wdsp","mxpsd","max","min","prcp","sndp"
"39",5,8,2,2001,1242,42.3,37.1,1017.4,5.1,7.1,13,51.8,35.6,0.06,0
"40",6,9,2,2001,1284,48.4,47,1006.5,4.8,13.4,19,53.6,32,0.72,1.2
"41",7,10,2,2001,1089,20.8,14.4,1031.7,8.9,11,21,32,14,0,1.2
"42",1,11,2,2001,1049,19,8.7,1037,10,7.1,11.1,28.4,14,0,1.2
"43",2,12,2,2001,1235,30.2,19.6,1027.7,10,8.6,12,39.2,24.8,0,0
"44",3,13,2,2001,1241,35.8,29.4,1026.6,8.1,5.3,8.9,39.9,33.1,0,0
"45",4,14,2,2001,1228,36.6,34.6,1016,2.9,6.8,15.9,37.9,33.1,0.06,0
"46",5,15,2,2001,1294,31.3,25.3,1018.2,9.9,9.4,14,34,30,0.14,0
"47",6,16,2,2001,1213,30.9,23.5,1021.5,8.6,7.7,14,33.8,26.6,0,0
"48",7,17,2,2001,1079,15.8,1.2,1033.6,10,12.7,18.1,26.1,8.1,0,0
"49",1,18,2,2001,1080,16.9,2.8,1034.3,10,9.4,12,28.4,8.6,0,0
"50",2,19,2,2001,1211,34.4,22.2,1018.7,10,14,15.9,45,28,0,0
"51",3,20,2,2001,1257,35.3,24.4,1020.7,7.2,7.4,14,39.2,28.4,0,0
"52",4,21,2,2001,1223,18.4,-1.6,1033.1,10,11.5,15,28.4,10.4,0,0
"53",5,22,2,2001,1126,23.1,16.1,1024.4,8.2,8.2,14,28.4,17.6,0,0
"54",6,23,2,2001,1201,25.5,16,1025.4,9.3,11.2,19,28.9,18,0.01,0
"55",7,24,2,2001,1237,33.4,28.4,1021.3,5.3,11.6,20,39.9,26.1,0.06,0
"56",1,25,2,2001,1162,43.6,37.5,1003.3,8.9,21.6,30.9,57.2,30.2,1.22,0
"57",2,26,2,2001,1204,31.5,22,1027.5,10,9.5,19,41,23,0,0
"58",3,27,2,2001,1247,29.3,16.1,1031.1,10,8.4,11.1,37.4,24.8,0,0
"59",4,28,2,2001,1227,21,-0.6,1028.3,10,8.7,13,28.9,12.2,0,0
"60",5,1,3,2001,1595,28.7,12.3,1016.6,10,11.8,16.9,42.8,21.2,0,0
"61",6,2,3,2001,1401,35.4,27.9,1008.1,8,11.8,18.1,42.8,32,0,0
"62",7,3,3,2001,1324,36.4,28.5,1010.2,5.7,2.9,7,48.2,26.6,0,0
"63",1,4,3,2001,1162,33,25.2,1013.6,8.3,11.3,21,39.2,28.4,0,0
"64",2,5,3,2001,1232,26.1,12.3,1019.7,9.9,13.6,22.9,30,19,0,0
"65",3,6,3,2001,1248,27.1,14.7,1022.9,10,13.2,15.9,33.8,21.2,0,0
"66",4,7,3,2001,1369,32.6,18.3,1020.7,10,8.2,18.1,46,23,0,0
"67",5,8,3,2001,1356,31.8,21.4,1015.2,8.7,11.7,15.9,37.9,30,0,0
"68",6,9,3,2001,1421,31.6,18.4,1019.3,10,8.3,13,39.2,24.8,0,0
"69",7,10,3,2001,1266,35.6,21.6,1017,10,8.2,21,50,24.8,0,0
"70",1,11,3,2001,1144,37.4,26.9,1016.7,9.3,10.3,15,48,30,0.08,0
"71",2,12,3,2001,1265,38.6,32.7,1010.3,6.7,10.3,14,48.2,30.2,0.17,0
"72",3,13,3,2001,1291,38,31,999.9,8.4,14.2,21,50,32,0,0
"73",4,14,3,2001,1317,40.4,30.7,1010.6,9.5,10,18.1,51.8,30.2,0,0
"74",5,15,3,2001,1258,42.9,38.5,1009.7,6,10.6,20,48.9,37,0.04,0
"75",6,16,3,2001,1256,34.8,31.3,1011.2,2.7,16.8,22.9,37.9,32,0.45,3.1
"76",7,17,3,2001,1088,33.6,26.8,1022.6,5.8,10.2,18.1,37.4,30.2,0.06,3.1
"77",1,18,3,2001,1192,34,23.1,1031.2,10,4.3,8.9,46,24.1,0.08,3.1
"78",2,19,3,2001,1344,37.5,21.5,1030.7,10,5.5,9.9,46.4,30.2,0,0
"79",3,20,3,2001,1433,40.6,24.6,1026.2,10,7.2,11.1,50,33.1,0,0
"80",4,21,3,2001,1374,42.6,23.5,1021.6,10,8.1,15,54,30.9,0,0
"81",5,22,3,2001,1374,43.1,30.9,1019.7,6.7,6.1,14,57,30.9,0,0
"82",6,23,3,2001,1483,43.9,31.6,1017.8,8.1,8.7,15,53.1,35.1,0,0
"83",7,24,3,2001,1339,33.5,16.9,1020.4,10,14,20,46.9,27,0,0
"84",1,25,3,2001,1102,23,10.8,1024.4,9,12.1,15.9,28.4,19.4,0,0
"85",2,26,3,2001,1216,23.8,6.7,1025.4,10,9.6,12,33.8,17.6,0,0
"86",3,27,3,2001,1409,32.5,17.5,1026.1,10,5.8,9.9,39.9,25,0,0
"87",4,28,3,2001,1321,37.3,18.9,1022.8,10,7.5,15,50,28.4,0,0
"88",5,29,3,2001,1337,41.5,31.5,1017.2,7.4,7,12,48,37,0.01,0
"89",6,30,3,2001,1350,42.8,31.3,1015.2,7.9,7.8,13,51.1,37,0,0
"90",7,31,3,2001,1306,44.5,34.2,1011.1,6,6.8,15,55.9,37.9,0.04,0
"91",1,1,4,2001,1362,40.3,26.4,1010.2,9.9,12.4,19,48.9,30.9,0.03,0
"92",2,2,4,2001,1323,45,25.8,1015.3,10,5.1,13,62.1,34,0,0
"93",3,3,4,2001,1353,42.4,31.7,1018.9,9.7,14,20,51.8,37.4,0,0
"94",4,4,4,2001,1345,44.6,31.3,1027.4,8.8,9.1,14,53.6,39.2,0,0
"95",5,5,4,2001,1274,50.1,31.4,1022.1,9.6,7.4,12,63,39.9,0.02,0
"96",6,6,4,2001,1381,57.5,54,1010.8,3,7,13,64.9,46,0.48,0
"97",7,7,4,2001,1352,63.5,50,1004.5,6.9,14.2,23.9,82.9,45,0,0
"98",1,8,4,2001,1319,64.7,41.5,1008.8,10,11.5,19,78.8,48.2,0,0
"99",2,9,4,2001,1338,53.8,43.7,1009.3,9.6,10,15.9,62.6,46.4,0.23,0
"100",3,10,4,2001,1341,49.3,44.3,1012.3,7.1,8.7,11.1,53.6,46.4,0.04,0
"101",4,11,4,2001,1312,61.9,56,1006.1,6.8,10.1,20,77,51.1,0,0
"102",5,12,4,2001,1457,58,45.2,1001.1,9.7,20.5,28.9,69.8,48.2,0.53,0
"103",6,13,4,2001,1336,49.7,37.2,1018,10,8,16.9,57.2,42.8,0,0
"104",7,14,4,2001,1347,53.5,36.1,1016.8,10,6.2,11.1,66,45,0,0
"105",1,15,4,2001,1227,50.6,36,1012.8,9.3,9.2,14,55.4,44.6,0.48,0
"106",2,16,4,2001,1178,39.7,27.2,1016.5,9.6,13.9,22,52,32,0,0
"107",3,17,4,2001,1194,35.8,24.4,1024.3,8.3,13.6,23.9,45,30,0,1.2
"108",4,18,4,2001,1339,42,23.8,1025.9,10,5.4,9.9,55.4,30.2,0,0
"109",5,19,4,2001,1323,52.5,28.4,1018.2,10,8.8,15.9,69.1,41,0,0
"110",6,20,4,2001,1476,64.7,49.7,1010.2,9.7,11.8,15.9,78.8,53.6,0.35,0
"111",7,21,4,2001,1371,70.4,61.1,1009.3,9.3,16.2,22.9,78.8,62.6,0.44,0
"112",1,22,4,2001,1353,64.9,55.2,1018.3,9.1,8.3,15,80.6,53.6,0.01,0
"113",2,23,4,2001,1308,68.1,54.9,1009.4,10,17.9,28.9,79,50,0.19,0
"114",3,24,4,2001,1294,50.6,30.4,1019.6,10,13.7,26,62.1,44.1,0.05,0
"115",4,25,4,2001,1299,54.1,34.3,1024.2,10,7.4,12,62.1,48,0,0
"116",5,26,4,2001,1358,59.8,39.6,1020.9,10,10.7,18.1,77,46.9,0,0
"117",6,27,4,2001,1506,61.5,36.9,1020,10,11.5,16.9,73.4,53.6,0,0
"118",7,28,4,2001,1302,54.6,32.7,1027.9,10,6.5,12,64.4,46.4,0,0
"119",1,29,4,2001,1295,61.4,32.4,1028.6,10,8.6,13,77,51.1,0,0
"120",2,30,4,2001,1433,70.9,35.8,1021.4,10,9.1,13,87.1,57,0,0
"121",3,1,5,2001,1551,75.4,52.1,1013.2,10,11.8,21,84.9,64.9,0,0
"122",4,2,5,2001,1462,74.8,52.3,1012.2,10,12.6,16.9,82.9,64,0,0
"123",5,3,5,2001,1442,76.5,51,1017.2,10,10.2,14,87.1,66,0,0
"124",6,4,5,2001,1533,60.2,49.2,1020.9,9.5,8.7,15,84,53.1,0,0
"125",7,5,5,2001,1347,57.3,48.4,1021.5,10,9.9,15,66.9,51.1,0.03,0
"126",1,6,5,2001,1223,64.8,42.3,1018.3,10,8.2,13,78.1,55.9,0.02,0
"127",2,7,5,2001,1392,65.5,58.5,1016.5,8.8,10.2,19,69.8,62.6,0.15,0
"128",3,8,5,2001,1412,63.8,43.3,1020.4,10,10.9,22.9,77,50,0.21,0
"129",4,9,5,2001,1469,68.7,45.8,1019,10,8.3,14,82.4,57.2,0,0
"130",5,10,5,2001,1336,72.7,49.2,1013.6,10,11.8,19,86,61,0.07,0
"131",6,11,5,2001,1358,61.2,55,1012.9,8.6,9.3,15.9,73.4,48.2,0.58,0
"132",7,12,5,2001,1245,50,33,1023.9,10,11.2,15.9,57.2,42.8,0,0
"133",1,13,5,2001,1210,52.6,31,1025.9,10,5,7,68,41,0,0
"134",2,14,5,2001,1300,58.1,39.8,1019.8,9.8,9.4,20,68,51.1,0.11,0
"135",3,15,5,2001,1420,73.5,58.9,1008.2,10,10,15.9,91,59,0,0
"136",4,16,5,2001,1382,78.1,64.3,1001.9,9.4,8.6,15,89.6,69.8,0,0
"137",5,17,5,2001,1407,73.2,61.3,1005.7,7.6,5.4,13,87.1,66,0.11,0
"138",6,18,5,2001,1439,70.6,52.8,1009.3,9.9,10.1,15.9,81,62.1,0.01,0
"139",7,19,5,2001,1335,65,41.5,1012.7,10,7.3,12,73.4,55.4,0,0
"140",1,20,5,2001,1282,66.7,44.9,1009.5,10,8.2,13,79,55,0,0
"141",2,21,5,2001,1437,68.2,59.5,998.6,7.8,11.6,21,75,62.1,0,0
"142",3,22,5,2001,1277,56.2,42.9,1004.6,10,12.2,20,62.6,48.2,0,0
"143",4,23,5,2001,1235,53.1,43.7,1005.3,10,8.8,16.9,60.8,46.4,0,0
"144",5,24,5,2001,1312,52.6,45.7,1006.3,9.2,6.2,15.9,60.8,46.4,0,0
"145",6,25,5,2001,1351,52.6,46,1008.9,9,5.5,8.9,60.1,46.9,0,0
"146",7,26,5,2001,1161,51.9,47.6,1006.7,7.5,7.4,18.1,57.9,45,0,0
"147",1,27,5,2001,1153,53.2,48.8,1005,8.3,10.9,18.1,59,50,0,0
"148",2,28,5,2001,1325,58.3,51.5,1011.8,8.8,4.2,8,66.2,51.8,0,0
"149",3,29,5,2001,1410,58.6,49.2,1017.1,8.7,8.9,15.9,64.9,51.1,0,0
"150",4,30,5,2001,1342,54.1,36.3,1021.8,10,9.1,13,60.8,46.4,0,0
"151",5,31,5,2001,1297,54.9,41.4,1017.2,9.4,9.3,16.9,62.1,51.1,0.31,0
"152",6,1,6,2001,1665,55.4,50.5,1004.2,6.3,9.5,14,64.9,50,0.92,0
"153",7,2,6,2001,1398,56.5,48.9,1000.2,9.9,11.8,16.9,64,53.1,0,0
"154",1,3,6,2001,1185,52.9,46.2,1010.2,10,7.3,11.1,57.9,50,0,0
"155",2,4,6,2001,1371,52.2,45,1016.5,10,9,14,55.9,50,0,0
"156",3,5,6,2001,1281,53.4,51,1017.3,6.1,8.4,22.9,59,48,0.11,0
"157",4,6,6,2001,1344,57.8,56.3,1016.7,1.6,6,12,66.9,53.1,0.54,0
"158",5,7,6,2001,1327,60.6,55.1,1017.6,6.2,5.4,8,68,55.9,0,0
"159",6,8,6,2001,1371,63.8,52.2,1017.8,8.4,6.1,9.9,73.9,51.1,0,0
"160",7,9,6,2001,1386,69.6,53.4,1015.5,10,6.4,8.9,80.6,57.2,0,0
"161",1,10,6,2001,1413,75.3,59.2,1010.3,10,10.1,18.1,84.9,64.9,0,0
"162",2,11,6,2001,1476,79.5,66.5,1007.5,9.2,6.7,11.1,88,70,0,0
"163",3,12,6,2001,1381,75.3,65.6,1007.9,9.8,6.9,18.1,87.8,64.4,0.29,0
"164",4,13,6,2001,1429,82.8,69.1,1008.6,8.8,9,15,93.2,73.4,0.36,0
"165",5,14,6,2001,1393,84.5,67.8,1009.3,8.2,11.3,15,93.2,75.2,0,0
"166",6,15,6,2001,1421,74.5,65.2,1008.9,9.8,9.2,19,90,70,0.52,0
"167",7,16,6,2001,1377,74.2,57.5,1016.1,10,8.3,15.9,88,61,0,0
"168",1,17,6,2001,1435,76.5,54.4,1019.9,10,5.9,9.9,87.8,62.6,0,0
"169",2,18,6,2001,1494,80.8,58.4,1016.2,9.9,11.5,19,93.2,69.8,0.06,0
"170",3,19,6,2001,1536,80.5,62.8,1015.6,10,12.9,16.9,90,71.1,0.05,0
"171",4,20,6,2001,1405,70.4,53.3,1021.5,10,5.4,8.9,75.2,66.2,0,0
"172",5,21,6,2001,1322,65.1,52,1018.6,9.1,6.2,9.9,73.9,59,0.09,0
"173",6,22,6,2001,1373,61.5,54.2,1016.6,8.8,7.1,12,68,55.4,0.25,0
"174",7,23,6,2001,1325,63.4,52.2,1018.5,9.3,6.1,11.1,73,53.1,0,0
"175",1,24,6,2001,1286,69.4,53.4,1020.8,9.7,6,9.9,82,55.9,0,0
"176",2,25,6,2001,1382,75.5,56.4,1022.1,10,6.7,11.1,86,64.9,0,0
"177",3,26,6,2001,1363,78.7,55.9,1022.7,10,6.3,11.1,88,66.9,0,0
"178",4,27,6,2001,1364,78.7,57.8,1023.9,9.8,6.3,11.1,88,68,0,0
"179",5,28,6,2001,1380,79.2,61.7,1022.1,8.8,6,8.9,87.8,69.8,0,0
"180",6,29,6,2001,1450,79.4,62.5,1017.6,8.4,6.4,11.1,87.8,69.8,0,0
"181",7,30,6,2001,1404,81.1,64.1,1013.8,8.1,8.1,14,89.6,71.6,0,0
"182",1,1,7,2001,1603,71.7,57.1,1015.8,10,11.9,18.1,87.1,60.1,0,0
"183",2,2,7,2001,1372,62.5,41.3,1024.1,10,8.9,13,73.9,55.9,0,0
"184",3,3,7,2001,1316,70.9,57.2,1017,9.6,9,16.9,79,64,0.45,0
"185",4,4,7,2001,1420,77.8,62.1,1013.2,9.5,8.5,15.9,89.6,69.8,0,0
"186",5,5,7,2001,1377,70,49.7,1015.1,10,9.3,14,84,63,0,0
"187",6,6,7,2001,1455,66.6,46.6,1018.8,10,6.6,12,78.8,55.4,0,0
"188",7,7,7,2001,1447,75.9,63.3,1011.3,10,9.8,14,88,64.9,0.24,0
"189",1,8,7,2001,1385,81.1,67.3,1010.9,9.5,6.1,12,87.8,73.4,0.01,0
"190",2,9,7,2001,1431,80,66.8,1010.6,7.9,6.3,11.1,91,71.1,0,0
"191",3,10,7,2001,1491,81.9,63.7,1009.2,9.3,6.4,11.1,89.6,71.6,0,0
"192",4,11,7,2001,1397,72.4,51.2,1013.9,10,10.5,14,86,66,0,0
"193",5,12,7,2001,1419,72,52.5,1016.9,10,7,14,80.1,64,0,0
"194",6,13,7,2001,1511,71.8,51.2,1019,10,8.1,13,79,64,0,0
"195",7,14,7,2001,1442,74.9,48.9,1017.3,10,7.3,12,87.1,62.1,0,0
"196",1,15,7,2001,1391,78.7,52,1015.3,10,5.1,9.9,89.1,66,0,0
"197",2,16,7,2001,1512,78.6,58.7,1015,10,6.9,11.1,86,69.8,0,0
"198",3,17,7,2001,1425,80.1,65.2,1013,8,6.3,8.9,87.1,75,0,0
"199",4,18,7,2001,1406,78.9,70.8,1012.7,5.2,5.4,11.1,88,73,0,0
"200",5,19,7,2001,1403,80.9,71.5,1014.8,4.9,5.9,12,90,73,0.01,0
"201",6,20,7,2001,1555,83.2,71.4,1014.5,8,5.4,11.1,93.9,75,0,0
"202",7,21,7,2001,1502,84.3,72.4,1011.6,9,6.6,12,91.4,78.8,0,0
"203",1,22,7,2001,1429,81.3,71.6,1010.1,8.2,5.3,18.1,95,73.4,0.26,0
"204",2,23,7,2001,1468,79.9,71.5,1010.2,8.7,7.6,22,93.2,73.4,1.32,0
"205",3,24,7,2001,1418,81,71.6,1010.7,8.9,6.7,11.1,90,73,0,0
"206",4,25,7,2001,1465,74.7,68.1,1011.7,9,9.2,15.9,86,68,0.42,0
"207",5,26,7,2001,1435,73.4,62.1,1017.9,10,11.5,16.9,79,68,0.5,0
"208",6,27,7,2001,1465,71.7,57,1022,10,10,15,77,64.4,0,0
"209",7,28,7,2001,1459,73.9,61.3,1017.1,10,6.8,8.9,80.6,66.2,0,0
"210",1,29,7,2001,1423,79.3,69.2,1013.1,6.2,4.8,9.9,91.4,73.4,0.03,0
"211",2,30,7,2001,1464,79.2,70.2,1015.1,6.6,6.2,9.9,89.6,71.6,0,0
"212",3,31,7,2001,1417,83.9,70.6,1018,10,6.6,12,95,75.2,0,0
"213",4,1,8,2001,1587,85.6,71.5,1020.5,7.6,8.7,14,93.9,78.1,0,0
"214",5,2,8,2001,1310,80.2,72.3,1020,8.7,7.1,20,89.1,73,3.14,0
"215",6,3,8,2001,1417,79.5,71,1017.4,8.4,6.2,12,86,75,0,0
"216",7,4,8,2001,1516,77.1,64.3,1016.2,10,5.9,11.1,84.9,68,0,0
"217",1,5,8,2001,1472,80.2,67.1,1018.3,9.8,4.8,8,90,70,0,0
"218",2,6,8,2001,1503,81.6,66.4,1019.9,10,6.1,9.9,91.4,71.6,0,0
"219",3,7,8,2001,1441,84.2,71.1,1018.4,10,7.8,14,95,75,0,0
"220",4,8,8,2001,1433,86.3,71.8,1015.6,8.3,7.6,11.1,93.9,78.1,0,0
"221",5,9,8,2001,1344,85.8,72.1,1010.6,7,7.6,13,95,77,0,0
"222",6,10,8,2001,1563,75.7,62.4,1013.9,9.4,10.8,22,90,72,0.3,0
"223",7,11,8,2001,1390,73,56.8,1017.3,10,8.2,12,78.8,64.4,0,0
"224",1,12,8,2001,1406,73.8,56.4,1017.4,10,5.7,8.9,84.2,62.6,0,0
"225",2,13,8,2001,1412,73.5,60.2,1019.2,9.9,9.6,16.9,78.8,69.8,0.05,0
"226",3,14,8,2001,1410,69.1,49.4,1020.1,10,7.3,13,77,59,0,0
"227",4,15,8,2001,1520,70,53.4,1015,10,5.5,9.9,78.1,63,0,0
"228",5,16,8,2001,1434,70,63.7,1008.6,6.7,8.5,14,73.4,66.2,0.66,0
"229",6,17,8,2001,1336,69.5,56.8,1015.1,10,8.3,14,79,60.1,0.02,0
"230",7,18,8,2001,1322,68.4,60.8,1011.5,9.4,5.8,9.9,73.4,64.4,0,0
"231",1,19,8,2001,1244,66.9,61.1,1008.8,8.8,9.5,15.9,73.4,62.6,0.49,0
"232",2,20,8,2001,1468,68.7,56.6,1016.2,10,7.2,11.1,79,59,0.14,0
"233",3,21,8,2001,1350,70.1,56.3,1017.7,10,6.8,12,80.6,60.8,0,0
"234",4,22,8,2001,1382,75.9,66.8,1012.9,9.1,10.3,16.9,88,71.1,0.13,0
"235",5,23,8,2001,1308,73.5,68.6,1014.6,7.7,6.3,11.1,78.1,71.1,0.08,0
"236",6,24,8,2001,1419,73.5,67.3,1017.7,6.7,8.4,12,81,69.1,0,0
"237",7,25,8,2001,1385,74.7,71.2,1013.2,5.1,7.4,12,81,71.1,0.87,0
"238",1,26,8,2001,1421,75.2,67.3,1011.7,10,6.6,12,82.4,69.8,0,0
"239",2,27,8,2001,1484,76.1,63.5,1012.4,9.8,7.4,14,84.9,66.9,0,0
"240",3,28,8,2001,1410,74.1,60.3,1012.9,10,7.3,11.1,80.6,66.2,0,0
"241",4,29,8,2001,1454,72.3,57,1016.4,10,6.3,11.1,82.9,61,0,0
"242",5,30,8,2001,1428,77.4,63.5,1010.5,9.9,8.1,12,87.1,71.1,0,0
"243",6,31,8,2001,1473,72.3,64.2,1010.3,8.2,9.2,16.9,84,68,0.46,0
"244",7,1,9,2001,1582,64.2,49.5,1017.8,10,9.8,15,68,60.1,0,0
"245",1,2,9,2001,1325,66.5,52.5,1016.2,10,5.4,8,80.1,55,0,0
"246",2,3,9,2001,1369,74.7,60.3,1011.9,10,7.8,13,86,64,0,0
"247",3,4,9,2001,1402,73.6,61,1015.7,10,9.8,15,82.9,69.1,0,0
"248",4,5,9,2001,1308,68.9,57.8,1021.2,10,7,11.1,78.1,61,0,0
"249",5,6,9,2001,1423,74.4,60.6,1017.3,9.7,8.5,14,87.8,64.4,0,0
"250",6,7,9,2001,1570,77.9,69.1,1007.6,8.6,10.9,16.9,89.6,69.8,0.63,0
"251",7,8,9,2001,1573,77.2,66.3,1005.7,9.8,14.5,21,87.1,73,0,0
"252",1,9,9,2001,1322,69.9,63.5,1010.6,8.8,7.9,18.1,75.2,60.8,0.22,0
"253",2,10,9,2001,1383,64.2,52.5,1019,9.9,9.8,19,79,55,0.27,0
"254",3,11,9,2001,1374,67.6,52.8,1024,10,4.8,8,80.1,55,0,0
"255",4,12,9,2001,1344,72.7,55.2,1019.8,10,7.3,11.1,84,61,0,0
"256",5,13,9,2001,1274,67.7,54.6,1021.3,10,11.9,18.1,80.1,62.1,0,0
"257",6,14,9,2001,1403,60.1,44,1027.5,10,12.6,19,64.4,55.4,0,0
"258",7,15,9,2001,1501,61.2,44.3,1025,10,7.3,11.1,66.9,55,0,0
"259",1,16,9,2001,1340,62.2,47.8,1021.3,10,6,9.9,71.6,53.6,0,0
"260",2,17,9,2001,1247,64.2,51.3,1017.3,10,5.8,8.9,69.8,57.2,0,0
"261",3,18,9,2001,1286,64.1,54.2,1015.1,8.1,7.7,12,69.8,57.2,0.06,0
"262",4,19,9,2001,1289,65.4,61.6,1004.8,5,11.2,15,69.8,60.8,1.37,0
"263",5,20,9,2001,1368,63.8,53.3,1012.1,8.5,8.9,15,73.9,55,0.05,0
"264",6,21,9,2001,1500,65.5,58.8,1011,8.5,7,13,69.8,62.6,0.53,0
"265",7,22,9,2001,1435,64.3,54.7,1016.7,8.8,5.1,8.9,75,54,0.01,0
"266",1,23,9,2001,1268,64.1,56.1,1013.8,8.4,7.1,18.1,72,57,0.02,0
"267",2,24,9,2001,1284,52.1,42.9,1020.3,10,15.9,20,55.4,48.2,0.69,0
"268",3,25,9,2001,1312,50,34.3,1021.2,10,12.1,15.9,57.2,42.8,0.02,0
"269",4,26,9,2001,1394,56.7,36.8,1016.1,10,9.8,13,69.8,48.2,0,0
"270",5,27,9,2001,1450,56.1,44.7,1018.6,10,8.5,15,63,46.9,0,0
"271",6,28,9,2001,1462,55.3,47.1,1023.7,10,10.6,15,55.4,53.6,0,0
"272",7,29,9,2001,1384,57.7,48.4,1027.5,10,6.1,11.1,64.9,50,0,0
"273",1,30,9,2001,1346,58.3,50.4,1026.6,8,5,8,71.6,46.4,0,0
"274",2,1,10,2001,1709,63,50.9,1019.2,9.9,6.5,12,78.8,51.8,0,0
"275",3,2,10,2001,1411,67.3,55.8,1013.9,9,5.6,11.1,82.4,55.4,0,0
"276",4,3,10,2001,1493,71.6,48,1010.1,10,11.7,16.9,80.6,64.4,0,0
"277",5,4,10,2001,1336,58.3,50.5,1014.7,8.4,6.5,15,69.8,51.8,0.41,0
"278",6,5,10,2001,1424,49.5,44.1,1015.8,8.7,5.9,14,53.6,48.2,1.56,0
"279",7,6,10,2001,1366,44.5,31.2,1019.4,10,8.7,18.1,51.8,35.6,0,0
"280",1,7,10,2001,1242,42.5,26.3,1026.4,10,5,8.9,53.1,32,0,0
"281",2,8,10,2001,1381,53.8,34.9,1026.7,10,9.1,14,66.2,42.8,0,0
"282",3,9,10,2001,1462,63.1,45.3,1021.7,10,13.1,19,73.9,55,0,0
"283",4,10,10,2001,1380,63.6,53.8,1015.8,9.9,16,19,68,61,0.07,0
"284",5,11,10,2001,1397,59,48.9,1017,9.8,7.8,16.9,66,53.1,0.07,0
"285",6,12,10,2001,1477,56.7,53.4,1010.1,9.1,10.2,15.9,60.8,53.6,0.73,0
